num_layers,nodes_per_layer,weights,mults,cost,test_accuracy,accuracy_drop,acc_std,train_time_s
1,10,7960,7940,1114380,92.709996,7.290004,0.580258,3.016972
2,10,8070,8040,1129770,93.379998,6.620002,0.301166,3.462217
3,10,8180,8140,1145160,91.843331,8.156669,0.352327,3.949012
1,20,15910,15880,2227370,94.319999,5.680001,0.181933,2.998497
2,20,16330,16280,2286150,94.926665,5.073335,0.320365,3.389767
3,20,16750,16680,2344930,94.809997,5.190003,0.293088,3.993905
1,40,31810,31760,4453350,95.136662,4.863338,0.106926,2.922547
2,40,33450,33360,4682910,96.073329,3.926671,0.540494,3.614997
3,40,35090,34960,4912470,96.536664,3.463336,0.181749,3.964933
1,80,63610,63520,8905310,95.586661,4.413339,0.128970,2.980245
2,80,70090,69920,9812430,96.359998,3.640002,0.287925,3.510275
3,80,76570,76320,10719550,96.849998,3.150002,0.304469,4.151262
1,160,127210,127040,17809230,95.979999,4.020001,0.069999,2.986963
2,160,152970,152640,21415470,96.833330,3.166670,0.141891,3.591547
1,200,159010,158800,22261190,95.956663,4.043337,0.115037,3.352543
3,160,178730,178240,25021710,97.309999,2.690001,0.199247,4.134263
2,200,199210,198800,27888990,96.839998,3.160002,0.105828,3.552563
3,200,239410,238800,33516790,97.256664,2.743336,0.102633,4.006267
