num_layers,nodes_per_layer,seed,weights,mults,cost,test_accuracy,accuracy_drop,train_time_s
1,10,0,7960,7940,1114380,92.03999638557434,7.960003614425659,3.0329949855804443
1,10,1,7960,7940,1114380,93.03999543190002,6.960004568099976,3.0653841495513916
1,10,2,7960,7940,1114380,93.04999709129333,6.950002908706665,3.044607400894165
1,20,0,15910,15880,2227370,94.42999958992004,5.570000410079956,3.3348965644836426
1,20,1,15910,15880,2227370,94.1100001335144,5.889999866485596,3.0383193492889404
1,20,2,15910,15880,2227370,94.41999793052673,5.580002069473267,2.9990508556365967
1,40,0,31810,31760,4453350,95.2299952507019,4.770004749298096,3.0327091217041016
1,40,1,31810,31760,4453350,95.01999616622925,4.980003833770752,3.1569645404815674
1,40,2,31810,31760,4453350,95.15999555587769,4.8400044441223145,2.9466652870178223
1,80,0,63610,63520,8905310,95.54999470710754,4.450005292892456,2.9400315284729004
1,80,1,63610,63520,8905310,95.72999477386475,4.270005226135254,2.9565954208374023
1,80,2,63610,63520,8905310,95.47999501228333,4.520004987716675,3.193437099456787
1,160,0,127210,127040,17809230,95.89999914169312,4.100000858306885,2.981217384338379
1,160,1,127210,127040,17809230,96.02999687194824,3.970003128051758,3.0076799392700195
1,160,2,127210,127040,17809230,96.0099995136261,3.9900004863739014,3.330425500869751
1,200,0,159010,158800,22261190,95.83999514579773,4.1600048542022705,3.5761282444000244
1,200,1,159010,158800,22261190,95.95999717712402,4.040002822875977,3.038140058517456
1,200,2,159010,158800,22261190,96.069997549057,3.930002450942993,3.0428404808044434
2,10,0,8070,8040,1129770,93.30999851226807,6.690001487731934,4.127791404724121
2,10,1,8070,8040,1129770,93.70999932289124,6.290000677108765,3.645820140838623
2,10,2,8070,8040,1129770,93.11999678611755,6.880003213882446,3.4997646808624268
2,20,0,16330,16280,2286150,95.01999616622925,4.980003833770752,3.526867389678955
2,20,1,16330,16280,2286150,95.19000053405762,4.809999465942383,3.9498989582061768
2,20,2,16330,16280,2286150,94.56999897956848,5.4300010204315186,3.4330646991729736
2,40,0,33450,33360,4682910,96.09999656677246,3.900003433227539,3.450726270675659
2,40,1,33450,33360,4682910,96.5999960899353,3.4000039100646973,3.585986614227295
2,40,2,33450,33360,4682910,95.51999568939209,4.48000431060791,3.5652384757995605
2,80,0,70090,69920,9812430,96.23000025749207,3.7699997425079346,3.49737548828125
2,80,1,70090,69920,9812430,96.68999910354614,3.3100008964538574,3.6810314655303955
2,80,2,70090,69920,9812430,96.15999460220337,3.840005397796631,3.7603683471679688
2,160,0,152970,152640,21415470,96.67999744415283,3.320002555847168,3.4850876331329346
2,160,1,152970,152640,21415470,96.9599962234497,3.040003776550293,3.4527320861816406
2,160,2,152970,152640,21415470,96.85999751091003,3.140002489089966,3.720318078994751
2,200,0,199210,198800,27888990,96.75999879837036,3.2400012016296387,3.5101778507232666
2,200,1,199210,198800,27888990,96.9599962234497,3.040003776550293,3.4500036239624023
2,200,2,199210,198800,27888990,96.79999947547913,3.200000524520874,3.4945008754730225
3,10,0,8180,8140,1145160,91.88999533653259,8.110004663467407,4.268225908279419
3,10,1,8180,8140,1145160,91.46999716758728,8.53000283241272,3.973794937133789
3,10,2,8180,8140,1145160,92.17000007629395,7.829999923706055,4.004647731781006
3,20,0,16750,16680,2344930,94.90999579429626,5.090004205703735,4.276723146438599
3,20,1,16750,16680,2344930,94.47999596595764,5.520004034042358,4.083810329437256
3,20,2,16750,16680,2344930,95.03999948501587,4.960000514984131,4.089796543121338
3,40,0,35090,34960,4912470,96.73999547958374,3.2600045204162598,4.272185564041138
3,40,1,35090,34960,4912470,96.48000001907349,3.5199999809265137,3.9981963634490967
3,40,2,35090,34960,4912470,96.38999700546265,3.6100029945373535,4.041091680526733
3,80,0,76570,76320,10719550,96.51999473571777,3.4800052642822266,4.296183109283447
3,80,1,76570,76320,10719550,97.11999893188477,2.8800010681152344,3.9902946949005127
3,80,2,76570,76320,10719550,96.90999984741211,3.0900001525878906,4.037795305252075
3,160,0,178730,178240,25021710,97.2000002861023,2.799999713897705,5.659522294998169
3,160,1,178730,178240,25021710,97.53999710083008,2.460002899169922,3.954617977142334
3,160,2,178730,178240,25021710,97.18999862670898,2.8100013732910156,4.123946905136108
3,200,0,239410,238800,33516790,97.16999530792236,2.8300046920776367,4.225580930709839
3,200,1,239410,238800,33516790,97.36999869346619,2.6300013065338135,4.013483762741089
3,200,2,239410,238800,33516790,97.22999930381775,2.770000696182251,4.152655363082886
